s_id,sch_id,s_itt_2122,sum_score,std_pretest,mean_sum,mean_pre,school_size,pretest_dev
5167,65,0,12,0.6522210231945827,15.28735632183908,0.23505769803219245,87,0.4171633251623903
6533,65,0,27,2.0186822163093403,15.28735632183908,0.23505769803219245,87,1.783624518277148
6866,65,0,11,0.5975625754699925,15.28735632183908,0.23505769803219245,87,0.3625048774378
40,65,0,11,-0.49560637902181354,15.28735632183908,0.23505769803219245,87,-0.730664077054006
6642,65,0,14,0.1602949936732701,15.28735632183908,0.23505769803219245,87,-0.07476270435892235
4776,65,0,24,1.417439291338847,15.28735632183908,0.23505769803219245,87,1.1823815933066544
3205,65,0,11,-0.3316310358480426,15.28735632183908,0.23505769803219245,87,-0.5666887338802351
3175,65,0,15,1.1441470527158955,15.28735632183908,0.23505769803219245,87,0.909089354683703
1743,65,0,13,-0.003680349500500814,15.28735632183908,0.23505769803219245,87,-0.23873804753269326
2693,65,0,27,0.4335872322962216,15.28735632183908,0.23505769803219245,87,0.19852953426402914
2555,65,0,22,0.8161963663683537,15.28735632183908,0.23505769803219245,87,0.5811386683361612
4463,65,0,1,-0.6049232744709941,15.28735632183908,0.23505769803219245,87,-0.8399809725031866
2087,65,0,23,0.5429041277454022,15.28735632183908,0.23505769803219245,87,0.30784642971320975
3365,65,0,10,-0.3316310358480426,15.28735632183908,0.23505769803219245,87,-0.5666887338802351
7146,65,0,22,0.5429041277454022,15.28735632183908,0.23505769803219245,87,0.30784642971320975
473,65,0,18,0.1602949936732701,15.28735632183908,0.23505769803219245,87,-0.07476270435892235
1510,65,0,13,-1.8074091244119808,15.28735632183908,0.23505769803219245,87,-2.0424668224441733
3993,65,0,19,0.7615379186437634,15.28735632183908,0.23505769803219245,87,0.526480220611571
30,65,0,8,-0.4409479312972232,15.28735632183908,0.23505769803219245,87,-0.6760056293294157
7313,65,0,9,-0.6595817221955844,15.28735632183908,0.23505769803219245,87,-0.8946394202277769
2116,65,0,20,0.5975625754699925,15.28735632183908,0.23505769803219245,87,0.3625048774378
791,65,0,15,0.9255132618175343,15.28735632183908,0.23505769803219245,87,0.6904555637853419
7734,65,0,22,1.034830157266715,15.28735632183908,0.23505769803219245,87,0.7997724592345224
7312,65,0,9,-0.3316310358480426,15.28735632183908,0.23505769803219245,87,-0.5666887338802351
2033,65,0,10,0.1602949936732701,15.28735632183908,0.23505769803219245,87,-0.07476270435892235
1093,65,0,7,-1.0968493039923068,15.28735632183908,0.23505769803219245,87,-1.3319070020244994
5246,65,0,9,-1.6434337812382098,15.28735632183908,0.23505769803219245,87,-1.8784914792704024
963,65,0,2,-0.49560637902181354,15.28735632183908,0.23505769803219245,87,-0.730664077054006
3089,65,0,4,-0.5502648267464039,15.28735632183908,0.23505769803219245,87,-0.7853225247785963
905,65,0,2,-1.0421908562677165,15.28735632183908,0.23505769803219245,87,-1.2772485542999088
5113,65,0,10,-0.6049232744709941,15.28735632183908,0.23505769803219245,87,-0.8399809725031866
2982,65,0,7,-0.4409479312972232,15.28735632183908,0.23505769803219245,87,-0.6760056293294157
3461,65,0,25,0.6522210231945827,15.28735632183908,0.23505769803219245,87,0.4171633251623903
1101,65,0,24,1.1441470527158955,15.28735632183908,0.23505769803219245,87,0.909089354683703
1229,65,0,9,-0.9875324085431262,15.28735632183908,0.23505769803219245,87,-1.2225901065753186
5697,65,0,27,1.253463948165076,15.28735632183908,0.23505769803219245,87,1.0184062501328834
6266,65,0,17,-0.2769725881234523,15.28735632183908,0.23505769803219245,87,-0.5120302861556447
2002,65,0,12,-0.2769725881234523,15.28735632183908,0.23505769803219245,87,-0.5120302861556447
413,65,0,16,0.05097809822408949,15.28735632183908,0.23505769803219245,87,-0.18407959980810296
5701,65,0,8,-0.5502648267464039,15.28735632183908,0.23505769803219245,87,-0.7853225247785963
1570,65,0,26,1.5814146345126179,15.28735632183908,0.23505769803219245,87,1.3463569364804253
4125,65,0,26,0.5429041277454022,15.28735632183908,0.23505769803219245,87,0.30784642971320975
2836,65,0,11,-0.4409479312972232,15.28735632183908,0.23505769803219245,87,-0.6760056293294157
3585,65,0,9,-0.38628948357263293,15.28735632183908,0.23505769803219245,87,-0.6213471816048254
6805,65,0,25,1.1988055004404858,15.28735632183908,0.23505769803219245,87,0.9637478024082934
1147,65,0,20,0.9801717095421246,15.28735632183908,0.23505769803219245,87,0.7451140115099322
3381,65,0,17,0.6522210231945827,15.28735632183908,0.23505769803219245,87,0.4171633251623903
2832,65,0,28,1.5814146345126179,15.28735632183908,0.23505769803219245,87,1.3463569364804253
7118,65,0,14,0.7615379186437634,15.28735632183908,0.23505769803219245,87,0.526480220611571
4704,66,1,16,0.21495344139786038,13.330434782608696,-0.22231414039886202,115,0.4372675817967224
4795,66,1,23,0.5975625754699925,13.330434782608696,-0.22231414039886202,115,0.8198767158688545
7601,66,1,24,1.3081223958896664,13.330434782608696,-0.22231414039886202,115,1.5304365362885284
2750,66,1,17,0.2696118891224507,13.330434782608696,-0.22231414039886202,115,0.4919260295213127
226,66,1,5,-0.2769725881234523,13.330434782608696,-0.22231414039886202,115,-0.0546584477245903
3258,66,1,12,-0.9328739608185359,13.330434782608696,-0.22231414039886202,115,-0.7105598204196739
7000,66,1,27,1.034830157266715,13.330434782608696,-0.22231414039886202,115,1.257144297665577
812,66,1,11,0.10563654594867979,13.330434782608696,-0.22231414039886202,115,0.3279506863475418
957,66,1,9,-0.5502648267464039,13.330434782608696,-0.22231414039886202,115,-0.3279506863475419
3541,66,1,23,0.4882456800208119,13.330434782608696,-0.22231414039886202,115,0.7105598204196739
411,66,1,12,0.3789287845716313,13.330434782608696,-0.22231414039886202,115,0.6012429249704934
4741,66,1,17,0.4882456800208119,13.330434782608696,-0.22231414039886202,115,0.7105598204196739
600,66,1,4,-1.8074091244119808,13.330434782608696,-0.22231414039886202,115,-1.5850949840131188
3359,66,1,13,-0.16765569267427172,13.330434782608696,-0.22231414039886202,115,0.0546584477245903
81,66,1,15,-0.8235570653693554,13.330434782608696,-0.22231414039886202,115,-0.6012429249704934
5014,66,1,20,0.9255132618175343,13.330434782608696,-0.22231414039886202,115,1.1478274022163963
4914,66,1,10,0.324270336847041,13.330434782608696,-0.22231414039886202,115,0.546584477245903
1061,66,1,19,1.4720977390634373,13.330434782608696,-0.22231414039886202,115,1.6944118794622993
